dataset_id,model,n,positive_n,target_positive_n,boundary_score,boundary_tie_n,boundary_tie_positive_n,screened_n,screening_fraction,work_saved,WSS95,achieved_recall,random_tie_expected_screened_n,random_tie_expected_fraction,random_tie_expected_WSS95,random_tie_best_screened_n,random_tie_worst_screened_n
Nelson_2002,MiniLM,366,80,76,0.429009,1,1,260,0.7103825136612022,0.2896174863387978,0.23961748633879776,0.95,260.0,0.7103825136612022,0.23961748633879776,260.0,260.0
Oud_2018,MiniLM,952,20,19,0.5964986,1,1,440,0.46218487394957986,0.5378151260504201,0.4878151260504201,0.95,440.0,0.46218487394957986,0.4878151260504201,440.0,440.0
Wolters_2018,MiniLM,4278,19,19,0.48601565,1,1,829,0.19378214118747078,0.8062178588125293,0.7562178588125292,1.0,829.0,0.19378214118747078,0.7562178588125292,829.0,829.0
van_der_Valk_2021,MiniLM,725,89,85,0.35571736,1,1,396,0.5462068965517242,0.45379310344827584,0.4037931034482758,0.9550561797752809,396.0,0.5462068965517242,0.4037931034482758,396.0,396.0
van_der_Waal_2022,MiniLM,1970,33,32,0.470162,1,1,855,0.434010152284264,0.565989847715736,0.515989847715736,0.9696969696969697,855.0,0.434010152284264,0.515989847715736,855.0,855.0
Bos_2018,LR,4878,10,10,0.1331560681766969,1,1,3665,0.7513325133251333,0.2486674866748667,0.19866748667486667,1.0,3665.0,0.7513325133251333,0.19866748667486667,3665.0,3665.0
Chou_2003,LR,1907,15,15,0.2314391561331622,1,1,1524,0.7991609858416361,0.20083901415836392,0.15083901415836387,1.0,1524.0,0.7991609858416361,0.15083901415836387,1524.0,1524.0
Donners_2021,LR,258,15,15,0.6249805334915434,1,1,217,0.8410852713178295,0.1589147286821705,0.10891472868217045,1.0,217.0,0.8410852713178295,0.10891472868217045,217.0,217.0
Meijboom_2021,LR,882,37,36,0.5843891997473832,1,1,450,0.5102040816326531,0.4897959183673469,0.4397959183673469,0.972972972972973,450.0,0.5102040816326531,0.4397959183673469,450.0,450.0
Menon_2022,LR,975,74,71,0.1107539786037859,1,1,764,0.7835897435897435,0.21641025641025646,0.16641025641025642,0.9594594594594594,764.0,0.7835897435897435,0.16641025641025642,764.0,764.0
Nelson_2002,LR,366,80,76,0.1910440257103542,1,1,338,0.9234972677595629,0.07650273224043713,0.026502732240437088,0.95,338.0,0.9234972677595629,0.026502732240437088,338.0,338.0
Oud_2018,LR,952,20,19,0.4682905807596179,1,1,517,0.5430672268907563,0.45693277310924374,0.4069327731092437,0.95,517.0,0.5430672268907563,0.4069327731092437,517.0,517.0
Wolters_2018,LR,4278,19,19,0.1220489449424027,1,1,2877,0.6725105189340813,0.3274894810659187,0.27748948106591864,1.0,2877.0,0.6725105189340813,0.27748948106591864,2877.0,2877.0
van_der_Valk_2021,LR,725,89,85,0.2344256220575896,1,1,600,0.8275862068965517,0.1724137931034483,0.12241379310344824,0.9550561797752809,600.0,0.8275862068965517,0.12241379310344824,600.0,600.0
van_der_Waal_2022,LR,1970,33,32,0.1319864364783753,1,1,1805,0.916243654822335,0.08375634517766495,0.033756345177664904,0.9696969696969697,1805.0,0.916243654822335,0.033756345177664904,1805.0,1805.0
